X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths
-102.5528,23.6345,190,,Mexico,2020-04-16T10:35:12.000Z,23.6345,-102.5528,5847,2125,449
28.3699,47.4116,191,,Moldova,2020-04-16T10:35:12.000Z,47.4116,28.3699,2049,235,51
7.4167,43.7333,192,,Monaco,2020-04-16T10:35:12.000Z,43.7333,7.4167,93,12,3
19.37439,42.708678,194,,Montenegro,2020-04-16T10:35:12.000Z,42.708678,19.37439,290,55,4
-7.0926,31.7917,195,,Morocco,2020-04-16T10:35:12.000Z,31.7917,-7.0926,2251,247,128
5.2913,52.1326,199,,Netherlands,2020-04-16T10:35:12.000Z,52.1326,5.2913,28153,250,3134
174.886,-40.9006,200,,New Zealand,2020-04-16T10:35:12.000Z,-40.9006,174.886,1401,770,9
-85.207229,12.865416,201,,Nicaragua,2020-04-16T10:35:12.000Z,12.865416,-85.207229,9,4,1
8.081666,17.607789,202,,Niger,2020-04-16T10:35:12.000Z,17.607789,8.081666,584,90,14
8.6753,9.082,203,,Nigeria,2020-04-16T10:35:12.000Z,9.082,8.6753,407,128,12
21.7453,41.6086,204,,North Macedonia,2020-04-16T10:35:12.000Z,41.6086,21.7453,974,98,45
8.4689,60.472,205,,Norway,2020-04-16T10:35:12.000Z,60.472,8.4689,6798,32,150
55.923255,21.512583,206,,Oman,2020-04-16T10:35:12.000Z,21.512583,55.923255,1019,176,4
69.3451,30.3753,207,,Pakistan,2020-04-16T10:35:12.000Z,30.3753,69.3451,6505,1645,124
-80.7821,8.538,208,,Panama,2020-04-16T10:35:12.000Z,8.538,-80.7821,3751,75,103
-58.4438,-23.4425,210,,Paraguay,2020-04-16T10:35:12.000Z,-23.4425,-58.4438,174,30,8
-75.0152,-9.19,211,,Peru,2020-04-16T10:35:12.000Z,-9.19,-75.0152,11475,3108,254
121.774017,12.879721,212,,Philippines,2020-04-16T10:35:12.000Z,12.879721,121.774017,5660,435,362
19.1451,51.9194,213,,Poland,2020-04-16T10:35:12.000Z,51.9194,19.1451,7771,774,292
-8.2245,39.3999,214,,Portugal,2020-04-16T10:35:12.000Z,39.3999,-8.2245,18091,383,599
51.1839,25.3548,215,,Qatar,2020-04-16T10:35:12.000Z,25.3548,51.1839,3711,406,7
24.9668,45.9432,216,,Romania,2020-04-16T10:35:12.000Z,45.9432,24.9668,7707,1357,392
105.318756,61.52401,217,,Russia,2020-04-16T10:35:12.000Z,61.52401,105.318756,27938,2304,232
12.4578,43.9424,222,,San Marino,2020-04-16T10:35:12.000Z,43.9424,12.4578,393,53,36
45.079162,23.885942,224,,Saudi Arabia,2020-04-16T10:35:12.000Z,23.885942,45.079162,5862,931,79
-14.4524,14.4974,225,,Senegal,2020-04-16T10:35:12.000Z,14.4974,-14.4524,314,190,2
21.0059,44.0165,226,,Serbia,2020-04-16T10:35:12.000Z,44.0165,21.0059,4873,0,99
103.8333,1.2833,229,,Singapore,2020-04-16T10:35:12.000Z,1.2833,103.8333,3699,652,10
19.699,48.669,230,,Slovakia,2020-04-16T10:35:12.000Z,48.669,19.699,977,151,8
14.9955,46.1512,231,,Slovenia,2020-04-16T10:35:12.000Z,46.1512,14.9955,1248,165,61
46.199616,5.152149,232,,Somalia,2020-04-16T10:35:12.000Z,5.152149,46.199616,80,2,5
22.9375,-30.5595,233,,South Africa,2020-04-16T10:35:12.000Z,-30.5595,22.9375,2506,410,34
-3.74922,40.463667,235,,Spain,2020-04-16T10:35:12.000Z,40.463667,-3.74922,182816,74797,19130
80.771797,7.873054,236,,Sri Lanka,2020-04-16T10:35:12.000Z,7.873054,80.771797,238,65,7
30.2176,12.8628,237,,Sudan,2020-04-16T10:35:12.000Z,12.8628,30.2176,32,4,5
-56.0278,3.9193,238,,Suriname,2020-04-16T10:35:12.000Z,3.9193,-56.0278,10,6,1
18.643501,60.128161,239,,Sweden,2020-04-16T10:35:12.000Z,60.128161,18.643501,11927,381,1203
8.2275,46.8182,240,,Switzerland,2020-04-16T10:35:12.000Z,46.8182,8.2275,26359,15400,1254
38.996815,34.802075,241,,Syria,2020-04-16T10:35:12.000Z,34.802075,38.996815,33,5,2
121.000000000000114,23.7,242,,Taiwan*,2020-04-16T02:11:55.000Z,23.7,121,395,137,6
34.888822,-6.369028,243,,Tanzania,2020-04-16T10:35:12.000Z,-6.369028,34.888822,88,11,4
100.992541,15.870032,244,,Thailand,2020-04-16T10:35:12.000Z,15.870032,100.992541,2672,1593,46
0.8248,8.6195,246,,Togo,2020-04-16T10:35:12.000Z,8.6195,0.8248,81,35,3
-61.2225,10.6918,247,,Trinidad and Tobago,2020-04-16T10:35:12.000Z,10.6918,-61.2225,114,20,8
9.537499,33.886917,248,,Tunisia,2020-04-16T10:35:12.000Z,33.886917,9.537499,780,43,35
35.2433,38.9637,249,,Turkey,2020-04-16T10:35:12.000Z,38.9637,35.2433,69392,5674,1518
31.1656,48.3794,251,,Ukraine,2020-04-16T10:35:12.000Z,48.3794,31.1656,4161,186,116
53.847818,23.424076,252,,United Arab Emirates,2020-04-16T10:35:12.000Z,23.424076,53.847818,5365,1034,33
-3.436,55.3781,253,,United Kingdom,2020-04-16T10:35:12.000Z,55.3781,-3.436,98476,0,12868
-55.7658,-32.5228,254,,Uruguay,2020-04-16T10:35:12.000Z,-32.5228,-55.7658,493,272,9
64.585262,41.377491,255,,Uzbekistan,2020-04-16T10:35:12.000Z,41.377491,64.585262,1349,107,4
-66.5897,6.4238,256,,Venezuela,2020-04-16T10:35:12.000Z,6.4238,-66.5897,197,111,9
35.2332,31.9522,258,,West Bank and Gaza,2020-04-16T10:35:12.000Z,31.9522,35.2332,374,63,2
27.849332,-13.133897,261,,Zambia,2020-04-16T10:35:12.000Z,-13.133897,27.849332,48,30,2
29.154857,-19.015438,262,,Zimbabwe,2020-04-16T10:35:12.000Z,-19.015438,29.154857,23,1,3
-89.678696,32.741646,263,Mississippi,US,2020-04-16T10:35:30.000Z,32.741646,-89.678696,3360,0,122
-96.928917,35.565342,265,Oklahoma,US,2020-04-16T10:35:30.000Z,35.565342,-96.928917,2263,0,123
-75.507141,39.318523,266,Delaware,US,2020-04-16T10:35:30.000Z,39.318523,-75.507141,2014,0,46
-93.900192,45.694454,267,Minnesota,US,2020-04-16T10:35:30.000Z,45.694454,-93.900192,1809,0,87
-88.986137,40.349457,268,Illinois,US,2020-04-16T10:35:30.000Z,40.349457,-88.986137,24593,0,949
-92.373123,34.969704,269,Arkansas,US,2020-04-16T10:35:30.000Z,34.969704,-92.373123,1599,0,34
-106.248482,34.840515,270,New Mexico,US,2020-04-16T10:35:30.000Z,34.840515,-106.248482,1484,0,36
-86.258278,39.849426,271,Indiana,US,2020-04-16T10:35:30.000Z,39.849426,-86.258278,8960,0,436
-91.867805,31.169546,272,Louisiana,US,2020-04-16T10:35:30.000Z,31.169546,-91.867805,21951,0,1103
-97.563461,31.054487,273,Texas,US,2020-04-16T10:35:30.000Z,31.054487,-97.563461,16289,0,391
-89.616508,44.268543,274,Wisconsin,US,2020-04-16T10:35:30.000Z,44.268543,-89.616508,3721,0,183
-96.726486,38.5266,275,Kansas,US,2020-04-16T10:35:30.000Z,38.5266,-96.726486,1526,0,74
-72.755371,41.597782,278,Connecticut,US,2020-04-16T10:35:30.000Z,41.597782,-72.755371,14755,0,868
-64.8963,18.3358,279,Virgin Islands,US,2020-04-16T10:35:30.000Z,18.3358,-64.8963,51,0,1
-119.681564,36.116203,280,California,US,2020-04-16T10:35:30.000Z,36.116203,-119.681564,27098,0,890
-66.5901,18.2208,281,Puerto Rico,US,2020-04-16T10:35:30.000Z,18.2208,-66.5901,974,0,51
-83.643074,33.040619,282,Georgia,US,2020-04-16T10:35:30.000Z,33.040619,-83.643074,15267,0,576
-99.784012,47.528912,283,North Dakota,US,2020-04-16T10:35:30.000Z,47.528912,-99.784012,365,0,9
-77.209755,40.590752,284,Pennsylvania,US,2020-04-16T10:35:30.000Z,40.590752,-77.209755,26804,0,787
-80.954453,38.491226,285,West Virginia,US,2020-04-16T10:35:30.000Z,38.491226,-80.954453,723,0,12
-152.404419,61.370716,286,Alaska,US,2020-04-16T10:35:30.000Z,61.370716,-152.404419,293,0,9
-86.692345,35.747845,287,Tennessee,US,2020-04-16T10:35:30.000Z,35.747845,-86.692345,6288,0,135
-92.288368,38.456085,289,Missouri,US,2020-04-16T10:35:30.000Z,38.456085,-92.288368,5004,0,166
-99.438828,44.299782,290,South Dakota,US,2020-04-16T10:35:30.000Z,44.299782,-99.438828,1168,0,6
-105.311104,39.059811,291,Colorado,US,2020-04-16T10:35:30.000Z,39.059811,-105.311104,8280,0,354
-74.521011,40.298904,292,New Jersey,US,2020-04-16T10:35:30.000Z,40.298904,-74.521011,71030,0,3156
144.7937,13.4443,293,Guam,US,2020-04-16T10:35:30.000Z,13.4443,144.7937,135,0,5
-121.490494,47.400902,294,Washington,US,2020-04-16T10:35:30.000Z,47.400902,-121.490494,10971,0,565
-74.948051,42.165726,295,New York,US,2020-04-16T10:35:30.000Z,42.165726,-74.948051,214832,0,14073
-117.055374,38.313515,296,Nevada,US,2020-04-16T10:35:30.000Z,38.313515,-117.055374,3214,0,137
145.673900000000117,15.0979,297,Northern Mariana Islands,US,2020-04-16T10:35:30.000Z,15.0979,145.6739,13,0,2
-76.802101,39.063946,299,Maryland,US,2020-04-16T10:35:30.000Z,39.063946,-76.802101,10032,0,311
-114.478828,44.240459,300,Idaho,US,2020-04-16T10:35:30.000Z,44.240459,-114.478828,1508,0,41
-107.30249,42.755966,301,Wyoming,US,2020-04-16T10:35:30.000Z,42.755966,-107.30249,288,0,2
-111.431221,33.729759,302,Arizona,US,2020-04-16T10:35:30.000Z,33.729759,-111.431221,3968,0,143
-93.210526,42.011539,303,Iowa,US,2020-04-16T10:35:30.000Z,42.011539,-93.210526,1995,0,53
-84.536095,43.326618,304,Michigan,US,2020-04-16T10:35:30.000Z,43.326618,-84.536095,28059,0,1921
-111.862434,40.150032,305,Utah,US,2020-04-16T10:35:30.000Z,40.150032,-111.862434,2548,0,20
-78.169968,37.769337,306,Virginia,US,2020-04-16T10:35:30.000Z,37.769337,-78.169968,6500,0,195
-122.070938,44.572021,307,Oregon,US,2020-04-16T10:35:30.000Z,44.572021,-122.070938,1663,0,58
-110.454353,46.921925,308,Montana,US,2020-04-16T10:35:30.000Z,46.921925,-110.454353,404,0,7
-71.563896,43.452492,309,New Hampshire,US,2020-04-16T10:35:30.000Z,43.452492,-71.563896,1139,0,32
-71.530106,42.230171,310,Massachusetts,US,2020-04-16T10:35:30.000Z,42.230171,-71.530106,29918,0,1108
-80.945007,33.856892,311,South Carolina,US,2020-04-16T10:35:30.000Z,33.856892,-80.945007,3656,0,106
-72.710686,44.045876,312,Vermont,US,2020-04-16T10:35:30.000Z,44.045876,-72.710686,759,0,30
-81.686783,27.766279,313,Florida,US,2020-04-16T10:35:30.000Z,27.766279,-81.686783,22519,0,614
-157.498337,21.094318,314,Hawaii,US,2020-04-16T10:35:30.000Z,21.094318,-157.498337,524,0,9
-84.670067,37.66814,315,Kentucky,US,2020-04-16T10:35:30.000Z,37.66814,-84.670067,2291,0,122
-71.51178,41.680893,316,Rhode Island,US,2020-04-16T10:35:30.000Z,41.680893,-71.51178,3529,0,87
-98.268082,41.12537,317,Nebraska,US,2020-04-16T10:35:30.000Z,41.12537,-98.268082,952,0,21
-82.764915,40.388783,318,Ohio,US,2020-04-16T10:35:30.000Z,40.388783,-82.764915,7794,0,362
-86.9023,32.3182,319,Alabama,US,2020-04-16T10:35:30.000Z,32.3182,-86.9023,4241,0,123
-79.806419,35.630066,320,North Carolina,US,2020-04-16T10:35:30.000Z,35.630066,-79.806419,5424,0,138
-77.026817,38.897438,321,District of Columbia,US,2020-04-16T10:35:30.000Z,38.897438,-77.026817,2197,0,72
-69.381927,44.693947,322,Maine,US,2020-04-16T10:35:30.000Z,44.693947,-69.381927,770,0,24
